NODE_1_length_305371_cov_14.589813	305371
NODE_2_length_187267_cov_17.502944	187267
NODE_3_length_158734_cov_14.109346	158734
NODE_4_length_152899_cov_13.645531	152899
NODE_5_length_150758_cov_17.111292	150758
NODE_6_length_140220_cov_15.382853	140220
NODE_7_length_133733_cov_12.904742	133733
NODE_8_length_130925_cov_14.982454	130925
NODE_9_length_117510_cov_17.371170	117510
NODE_10_length_116643_cov_15.085490	116643
NODE_11_length_113728_cov_19.496959	113728
NODE_12_length_106363_cov_16.656209	106363
NODE_13_length_105498_cov_18.951419	105498
NODE_14_length_89956_cov_16.598816	89956
NODE_15_length_89322_cov_16.707629	89322
NODE_16_length_87213_cov_12.862217	87213
NODE_17_length_85948_cov_14.412743	85948
NODE_18_length_78426_cov_13.421308	78426
NODE_19_length_78320_cov_14.580129	78320
NODE_20_length_74884_cov_16.541033	74884
NODE_21_length_74264_cov_17.903436	74264
NODE_22_length_71354_cov_15.413439	71354
NODE_23_length_67903_cov_16.320974	67903
NODE_24_length_66914_cov_16.598305	66914
NODE_25_length_63664_cov_24.969813	63664
NODE_26_length_60258_cov_12.884652	60258
NODE_27_length_58276_cov_14.819326	58276
NODE_28_length_56763_cov_12.765485	56763
NODE_29_length_54826_cov_17.485877	54826
NODE_30_length_53849_cov_16.025688	53849
NODE_31_length_52320_cov_17.299964	52320
NODE_32_length_51549_cov_15.565556	51549
NODE_33_length_50208_cov_15.335676	50208
NODE_34_length_46575_cov_17.062069	46575
NODE_35_length_43980_cov_17.205505	43980
NODE_36_length_43925_cov_16.770469	43925
NODE_37_length_41643_cov_17.909023	41643
NODE_38_length_41623_cov_16.196670	41623
NODE_39_length_41176_cov_13.326512	41176
NODE_40_length_40537_cov_14.691091	40537
NODE_41_length_40495_cov_32.484790	40495
NODE_42_length_38889_cov_16.523115	38889
NODE_43_length_36076_cov_13.102673	36076
NODE_44_length_34874_cov_12.439290	34874
NODE_45_length_33026_cov_15.980547	33026
NODE_46_length_31562_cov_17.158168	31562
NODE_47_length_30961_cov_17.934877	30961
NODE_48_length_30253_cov_16.913397	30253
NODE_49_length_30173_cov_12.349497	30173
NODE_50_length_29730_cov_17.810560	29730
NODE_51_length_29194_cov_16.803488	29194
NODE_52_length_29006_cov_15.455798	29006
NODE_53_length_28651_cov_15.228930	28651
NODE_54_length_28595_cov_18.546895	28595
NODE_55_length_28261_cov_13.171536	28261
NODE_56_length_28215_cov_12.318463	28215
NODE_57_length_26731_cov_14.652721	26731
NODE_58_length_25155_cov_17.963761	25155
NODE_59_length_24816_cov_12.894771	24816
NODE_60_length_24679_cov_15.960288	24679
NODE_61_length_24528_cov_16.215155	24528
NODE_62_length_23514_cov_24.886005	23514
NODE_63_length_22542_cov_27.213295	22542
NODE_64_length_21398_cov_18.032439	21398
NODE_65_length_20011_cov_16.910732	20011
NODE_66_length_19535_cov_16.780812	19535
NODE_67_length_18825_cov_13.282704	18825
NODE_68_length_18327_cov_13.962198	18327
NODE_69_length_17787_cov_15.173726	17787
NODE_70_length_17225_cov_23.657855	17225
NODE_71_length_16367_cov_13.570628	16367
NODE_72_length_15766_cov_13.621203	15766
NODE_73_length_15513_cov_15.968283	15513
NODE_74_length_15250_cov_13.920254	15250
NODE_75_length_14030_cov_24.080990	14030
NODE_76_length_14005_cov_19.794495	14005
NODE_77_length_13808_cov_16.399021	13808
NODE_78_length_13626_cov_15.686718	13626
NODE_79_length_13544_cov_14.056272	13544
NODE_80_length_12977_cov_14.858911	12977
NODE_81_length_12970_cov_13.285837	12970
NODE_82_length_12910_cov_15.583744	12910
NODE_83_length_12029_cov_11.716602	12029
NODE_84_length_11843_cov_22.443923	11843
NODE_85_length_11689_cov_15.075938	11689
NODE_86_length_11226_cov_13.555996	11226
NODE_87_length_10987_cov_16.725875	10987
NODE_88_length_9517_cov_13.578381	9517
NODE_89_length_9386_cov_12.936278	9386
NODE_90_length_8866_cov_22.689209	8866
NODE_91_length_8803_cov_14.989857	8803
NODE_92_length_8415_cov_16.424831	8415
NODE_93_length_8136_cov_14.411162	8136
NODE_94_length_7814_cov_23.842071	7814
NODE_95_length_7695_cov_15.882003	7695
NODE_96_length_7592_cov_14.098326	7592
NODE_97_length_7279_cov_24.840604	7279
NODE_98_length_7190_cov_13.521167	7190
NODE_99_length_7127_cov_18.390000	7127
NODE_100_length_6984_cov_16.290944	6984
NODE_101_length_6923_cov_13.528252	6923
NODE_102_length_6829_cov_15.836318	6829
NODE_103_length_6769_cov_19.798254	6769
NODE_104_length_6256_cov_9.276065	6256
NODE_105_length_5851_cov_14.034941	5851
NODE_106_length_5699_cov_13.243539	5699
NODE_107_length_5555_cov_14.568349	5555
NODE_108_length_5481_cov_14.281845	5481
NODE_109_length_5295_cov_18.933437	5295
NODE_110_length_5205_cov_17.103978	5205
NODE_111_length_5149_cov_15.855436	5149
NODE_112_length_4671_cov_15.930898	4671
NODE_113_length_4651_cov_28.883068	4651
NODE_114_length_4638_cov_23.603192	4638
NODE_115_length_4616_cov_14.596124	4616
NODE_116_length_4543_cov_18.807745	4543
NODE_117_length_4282_cov_14.683514	4282
NODE_118_length_4094_cov_12.105369	4094
NODE_119_length_3811_cov_14.501629	3811
NODE_120_length_3695_cov_15.332119	3695
NODE_121_length_3263_cov_15.850765	3263
NODE_122_length_3225_cov_18.431569	3225
NODE_123_length_3145_cov_18.105699	3145
NODE_124_length_2792_cov_30.082552	2792
NODE_125_length_2786_cov_35.579917	2786
NODE_126_length_2722_cov_15.413102	2722
NODE_127_length_2601_cov_11.145918	2601
NODE_128_length_2563_cov_155.287356	2563
NODE_129_length_2330_cov_17.094871	2330
NODE_130_length_2306_cov_45.731528	2306
NODE_131_length_2228_cov_56.096145	2228
NODE_132_length_2131_cov_9.856786	2131
NODE_133_length_2125_cov_42.505506	2125
NODE_134_length_2082_cov_9.573402	2082
NODE_135_length_2018_cov_19.015865	2018
NODE_136_length_1978_cov_17.873582	1978
NODE_137_length_1962_cov_16.497003	1962
NODE_138_length_1919_cov_11.299107	1919
NODE_139_length_1915_cov_16.834452	1915
NODE_140_length_1890_cov_1.838344	1890
NODE_141_length_1886_cov_55.319500	1886
NODE_142_length_1679_cov_85.940722	1679
NODE_143_length_1633_cov_53.164011	1633
NODE_144_length_1599_cov_16.827446	1599
NODE_145_length_1517_cov_114.092806	1517
NODE_146_length_1424_cov_92.507325	1424
NODE_147_length_1379_cov_57.154153	1379
NODE_148_length_1341_cov_83.668863	1341
NODE_149_length_1322_cov_35.969874	1322
NODE_150_length_1303_cov_11.945578	1303
NODE_151_length_1139_cov_225.142292	1139
NODE_152_length_1073_cov_0.889006	1073
NODE_153_length_1014_cov_151.598647	1014
